;job_category
Emprendedores;2567
Project Managers;1305
Analistas y diseñadores de software;1172
Analistas, programadores y diseñadores Web y multimedia;1165
Directores generales y presidentes ejecutivos;1139
Directores de departamentos de contabilidad;989
Directores de publicidad y relaciones públicas;772
Analistas de gestión y organización;755
Escritores, periodistas y lingüistas;532
Directores de producción y operaciones;528
Directores comerciales y de ventas;483
Directores de servicios de tecnologías de la información y las comunicaciones (TIC);449
Especialistas en marketing digital;446
Profesores;361
Directores financieros;359
Analistas digitales;313
Directores de cine, de teatro y afines;301
Directores y gerentes;276
Investigadores;257
Manager;245
Diseñadores gráficos y multimedia;236
Directores de recursos humanos;233
Empleados de logística y transporte de pasajeros y mercancías;218
Asistentes de dirección y administrativos;208
Consultores y coaching;192
Controladores financieros y comerciales ;169
Especialistas en contabilidad;160
Asesores financieros y en inversiones;159
Formadores;124
Prácticas, becarios e internos;93
Directores de departamentos administrativos;91
Ingenieros industriales y de producción;83
Jefes de sección de tiendas y almacenes;83
Community Manager;82
Analistas financieros;66
Arquitectos, urbanistas e ingenieros geógrafos;65
Empleados contables, administrativos y otros empleados de oficina;64
Responsables de ingeniería;63
Responsables de producto;63
Empleados de centro de información y atención al cliente;62
Farmacéuticos;61
Agentes y representantes comerciales;58
Profesionales de la publicidad y la comercialización;57
Recepcionistas;54
Autónomos;50
Atletas y deportistas;50
Ingenieros de proyecto;49
Consultores de sistemas;48
Jubilados;47
Consultores;46
Ingenieros eléctricos, electrónicos y de telecomunicaciones;42
Estudiantes;40
Fotógrafos;38
Psicólogos;35
Profesionales de enfermería y partería;34
Médicos;32
Ocupaciones militares;32
Biólogos;31
Monitores de actividades recreativas y de entretenimiento;27
Jueces, magistrados, abogados y fiscales;27
Técnicos en operaciones de sistemas informáticos;27
Diseñadores de moda;26
Oficiales, operarios y artesanos;26
Productores de cine, radio y televisión;19
Pilotos;19
Azafatos de información;16
Empleados contables y financieros;15
Directores y gerentes de restaurantes;15
Taxistas y conductores de automóviles y furgonetas;12
 Camareros, bármanes y asimilados;11
Cocineros;11
Modelos de moda, arte y publicidad;11
Mediadores y agentes de seguros;10
Compositores, músicos y cantantes;10
Veterinarios;8
Bomberos;7
Estudiantes de doctorado;7
Ayudantes de cocina;7
Policías;6
Doctorados;5
Director, Business Development;5
Funcionarios;4
Auxiliares de vuelo y camareros de avión, barco y tren;4
Diseñadores de productos y de prendas;3
Entrenadores deportivos;3
Actores;2
Adiestradores caninos;1
Políticos;1
Dentistas;1
Camareros Bármanes y asimilados;1
Peluqueros;1
